categoria,empresa,piso,aniodelregistro,cuit,idempresa,numero,calle,fecha_data,oficina,cp,mail,telefono,numeroregistro,tejas_match,tejas_found_in
No Operadora,HOMAQ S.A.,9,2008,33688020889.0,1127,1427,CARLOS PELLEGRINI,2009-06-01T00:00:00,,1011,bisutti@holdec.com.ar,4327-4199,340,False,
Operadora,MADALENA PETROLEUM (AMERICAS) LTD. (SUCURSAL ARGEN,19,2008,33709519099.0,1033,323,San Martin,2008-12-18T00:00:00,,1004,,4394-4535,379,False,
No Operadora,MADALENA PETROLEUM LTD (SUCURSAL ARGENTINA),19,2008,30709060291.0,1183,323,San Martín,2008-12-18T00:00:00,,1004,,4394-4535,395,False,
Operadora,NECON S.A.,3º,2008,30505397270.0,208,1149,Carlos Pellegrini ,2009-01-21T00:00:00,,1009,hboggi@petronec.com.ar,4326-0516,147,False,
Operadora,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",1°,2008,30642651391.0,223,323,Mauela Sáenz,2009-02-03T00:00:00,,C1107BPA,,4324-5000,132,False,
Operadora,OIL M&S S.A.,8,2008,30707620567.0,1053,971,Av. Roque Saenz Pena,2008-11-25T00:00:00,,C1035AAE,,4393-0391,372,False,
Operadora,PETROBRAS ARGENTINA S.A.,,2008,30504077078.0,233,1,Maipú ,2008-12-16T00:00:00,,1084ABA,pablo.strada@petrobras.com,4344-6896,24,False,
Operadora,PETROLERA ENTRE LOMAS S.A.,18,2008,33515950899.0,244,680,Bouchard,2008-11-28T00:00:00,,C1106ABJ,,4313-4260,213,False,
Operadora,PETROLERA PATAGONIA S.R.L.,6,2008,30708535997.0,1014,550,Corrientes,2008-11-26T00:00:00,,1043,,4326-4061,352,False,
Operadora,PETROLERA PIEDRA DEL AGUILA S.A.,23,2008,30709840920.0,1105,498,Libertador,2008-12-30T00:00:00,,1001,,4850-4000,387,False,
Operadora,PLUSPETROL S.A.,,2008,30678224010.0,256,339,Lima,2008-11-28T00:00:00,,C1073AAG,,541143402222,257,False,
Operadora,TECPETROL S.A.,20,2008,30592665472.0,337,299,C.M. Della Paolera ,2008-12-01T00:00:00,,C1001ADA,,(+5411) 40185900,121,False,
Operadora,WINTERSHALL ENERGIA S.A.,10,2008,30601534815.0,356,757,Maipú,2008-12-02T00:00:00,,1006,,5554-2700,233,False,
Operadora,ALIANZA PETROLERA ARGENTINA S.A.,8,2009,30600096237.0,16,661,RECONQUISTA,2009-07-27T00:00:00,,1003,,4313-6545,143,False,
Operadora,AMERICAS PETROGAS ARGENTINA S.A.,16,2009,30709725749.0,1111,1,Tucumán,2009-07-21T00:00:00,B,C1049AAA,info@americaspetrogas.com,4331-2326,400,False,
Operadora,APCO ARGENTINA INC.,26,2009,30697588309.0,28,498,Av. del Libertador,2009-07-21T00:00:00,,1001 ABR,apco@apco.com.ar,5277-6999,148,False,
No Operadora,APCO AUSTRAL S.A.,26,2009,30709316490.0,1218,498,Av. del Libertador,2009-07-22T00:00:00,,1001,apco@apco.com.ar,5277-6999,412,False,
No Operadora,BLACK GOLD S.A.,8,2009,30707588272.0,1194,1294,Cerrito,2009-07-23T00:00:00,,C1010AAZ,contacto@cgc.com.ar,(5411) 4837-6200,416,False,
Operadora,CAPEX S.A.,5°,2009,30629827060.0,30,948,Córdoba,2009-08-05T00:00:00,C,C1054AAV,jorge.buciak@grupocapsa.com.ar,4796-6000,124,False,
Operadora,CENTRAL INTERNATIONAL CORPORATION (SUCURSAL ARGENTINA),6,2009,30707949828.0,83,550,Corrientes,2009-07-29T00:00:00,,1043,,4326-4061,348,False,
Operadora,CHAÑARES ENERGÍA S.A.,6°,2009,30594785629.0,129,1309,Av. Cordoba,2009-07-21T00:00:00,B,1055,fredylaz@hotmail.com,011 48120122,180,False,
Operadora,CHEVRON ARGENTINA S.R.L.,14,2009,30523479241.0,80,458,Reconquista,2009-07-30T00:00:00,,C1003ABJ,fbrunell@allianibruzzon.com.ar,4325-5500,28,False,
Operadora,CLEAR S.R.L.,8,2009,30622159216.0,85,971,Roque Saenz Peña,2009-07-23T00:00:00,,C1035AAE,,011.43283989,343,False,
Operadora,COLHUE HUAPI S.A.,3,2009,33682447899.0,90,259,Florida,2009-07-17T00:00:00,317,1005,info@colhue.com.ar; ,4837-8010,251,False,
Operadora,PLUSPETROL ENERGY S.A.,,2009,30568572099.0,362,339,Lima,2009-07-14T00:00:00,,C1073AAG,,541143402222,109,False,
Operadora,ENERGICON S.A.,1,2009,30694779138.0,1214,1328,Viamonte,2009-08-20T00:00:00,12,C1053ACB,consultora@energicon.com.ar,(011) 5272 6068,407,False,
Operadora,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),19,2009,30642555274.0,1009,323,San Martin,2009-07-27T00:00:00,,1004,,4394-4535,253,False,
No Operadora,GLACCO COMPAÑÍA PETROLERA S.A.,14,2009,30599830827.0,1120,458,Reconquista ,2009-07-30T00:00:00,,1003,fbrunell@allianibruzzon.com.ar,4325-5500,164,False,
Operadora,GRECOIL y CIA. S.R.L.,,2009,30672218957.0,1017,2728,JUEZ TEDIN,2009-07-16T00:00:00,,1425,carolinalandi@speedy.com.ar,011 48053526,374,False,
Operadora,INTERENERGY ARGENTINA S.A.,5°,2009,30701959104.0,1007,948,Córdoba,2009-08-05T00:00:00,C,C1054AAV,,4796-6000,326,False,
Operadora,MADALENA ENERGY ARGENTINA S.R.L.,9,2009,30709314323.0,1058,1230,Sarmiento,2009-08-27T00:00:00,,1041,,4132-4100,384,False,
Operadora,MEDANITO S.A.,PISO 4,2009,30661758410.0,204,439,AV. PASEO COLON,2009-08-21T00:00:00,,C1063ACE,info@medanito.com.ar,011-5167-0700,254,False,
Operadora,NECON S.A.,3º,2009,30505397270.0,208,1149,Carlos Pellegrini ,2009-08-21T00:00:00,,1009,hboggi@petronec.com.ar,4326-0516,147,False,
No Operadora,NORTHWEST ARGENTINA CORPORATION (SUCURSAL ARGENTINA),26,2009,30616185787.0,1219,498,Av. del Libertador,2009-07-24T00:00:00,,1001ABR,apco@apco.com.ar,5277-6999,324,False,
Operadora,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",1°,2009,30642651391.0,223,323,Mauela Sáenz,2009-07-29T00:00:00,,C1107BPA,,4324-5000,132,False,
Operadora,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,1,2009,30695542476.0,225,1180,Av. Leandro N. Alem,2009-07-16T00:00:00,,1001,msferreyra@pan-energy.com,4310-4100,18,False,
Operadora,PAN AMERICAN FUEGUINA S.A.,1,2009,30697282196.0,226,1180,Av. Leandro N. Alem,2009-07-16T00:00:00,,1001,msferreyra@pan-energy.com,4310-4293,288,False,
No Operadora,PAN AMERICAN SUR S.A.,1,2009,30697281963.0,259,1180,Domicilio Fiscal: Av. Leandro N. Alem,2009-07-16T00:00:00,,1001,msferreyra@pan-energy.com,4310-4293,289,False,
Operadora,PETROFARO S.A.,9,2009,30708304081.0,1184,1230,Sarmiento,2009-08-24T00:00:00,,C1041AAZ,,4132-4100,353,False,
Operadora,PETROLEOS SUDAMERICANOS S.A.,4,2009,33652607689.0,273,1,Tucuman,2009-08-20T00:00:00,,1049,gpastorini@cgfsa.com.ar,4722-5111,211,False,
Operadora,PETROLERA ENTRE LOMAS S.A.,18,2009,33515950899.0,244,680,Bouchard,2009-07-30T00:00:00,,C1106ABJ,,4313-4260,213,False,
Operadora,PETROQUIMICA COMODORO RIVADAVIA S.A.,3,2009,30563598111.0,236,2030/50,Alicia Moreau de Justo,2009-07-02T00:00:00,304,1107,ffridman@pcr.com.ar CC mjuarezgoni@pcr.com.ar,4124-9800,92,False,
No Operadora,PLUSPETROL S.A.,,2009,30678224010.0,256,339,Lima,2009-07-14T00:00:00,,C1073AAG,,54-11-4340-2222,257,False,
Operadora,PLUSPETROL S.A.,,2009,30678224010.0,256,339,Lima,2009-07-14T00:00:00,,C1073AAG,,54-11-4340-2222,257,False,
Operadora,ROCH S.A.,21,2009,30638375628.0,295,1020,Avenida Eduardo Madero ,2009-08-13T00:00:00,--,C1106ACX,com-ins@roch.com.ar,43157624,134,False,
Operadora,ROVELLA CARRANZA S.A.,4,2009,30615224827.0,1221,970,MORENO ,2009-10-14T00:00:00,81,C1091AAT,rc@rovellacarranza.com.ar,4342 2845,409,False,
Operadora,TECPETROL S.A.,20,2009,30592665472.0,337,299,C.M. Della Paolera,2009-07-17T00:00:00,,C1001 ADA,,(+54911) 40185900,121,False,
Operadora,TOTAL AUSTRAL S.A.,17,2009,30569719344.0,323,877,Moreno,2009-07-17T00:00:00,,1091,claudia.krinski@total.com,43466400,226,False,
Operadora,TOTAL AUSTRAL S.A.,17,2009,30569719344.0,323,877,Moreno,2009-07-17T00:00:00,,1091,,4346-6400,226,False,
Operadora,YPF S.A.,,2009,30546689979.0,360,515,MACACHA GÜEMES,2009-07-29T00:00:00,,C1106BKK,,01-4329-2000,215,False,
Operadora,YSUR PETROLERA ARGENTINA S.A.,12,2009,30658994251.0,27,1,Tucuman ,2009-09-03T00:00:00,,C1049AAA,,4335-5200,235,False,
Operadora,ALIANZA PETROLERA ARGENTINA S.A.,8,2010,30600096237.0,16,661,RECONQUISTA,2010-07-06T00:00:00,,1003,,4313-6545,143,False,
No Operadora,APCO AUSTRAL S.A.,26,2010,30709316490.0,1218,498,Av. del Libertador,2010-07-14T00:00:00,,1001,apco@apco.com.ar,5277-6999,412,False,
Operadora,ARGENTA ENERGIA S.A.,4,2010,30709381705.0,1108,1016,Reconquista ,2010-09-17T00:00:00,,1003,crossi@azaenergy.com,48934004,368,False,
Operadora,CAPEX S.A.,5°,2010,30629827060.0,30,948,Córdoba,2010-07-27T00:00:00,C,C1054AAV,jorge.buciak@grupocapsa.com.ar,4796-6000,124,False,
Operadora,CENTRAL INTERNATIONAL CORPORATION (SUCURSAL ARGENTINA),14,2010,30707949828.0,83,458,Reconquista,2010-07-29T00:00:00,,1003,,5352-0160,348,False,
Operadora,CHAÑARES ENERGÍA S.A.,6°,2010,30594785629.0,129,1309,Av. Cordoba,2010-07-13T00:00:00,B,1055,fredylaz@hotmail.com,011 48120122,180,False,
Operadora,CHEVRON ARGENTINA S.R.L.,14,2010,30523479241.0,80,458,Reconquista,2010-07-28T00:00:00,,C1003ABJ,fbrunell@allianibruzzon.com.ar,4325-5500,28,False,
Operadora,COLHUE HUAPI S.A.,3,2010,33682447899.0,90,259,Florida,2010-07-01T00:00:00,317,1005,info@colhue.com.ar; ,4837-8010,251,False,
Operadora,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,5°,2010,30568531392.0,61,948,Córdoba,2010-07-27T00:00:00,C,C1054AAV,,4796-6000,111,False,
Operadora,COPAT S.A.,8,2010,30709619051.0,1268,1350,Juana Manso,2011-02-03T00:00:00,C,1107,presidencia@energen.la,15 3240 2522,408,False,
No Operadora,CORPORACION FINANCIERA INTERNACIONAL ,18,2010,,77,1111,Suipacha,2010-09-23T00:00:00,,C1008AAW,pagbam@pagbam.com.ar,4114-3000,413,False,
Operadora,CROWN POINT ENERGIA S.A.,8,2010,30709346268.0,1097,1061,Luis Maria Campos,2010-05-17T00:00:00,,BOI1426,vcanalez@antrimenergy.com.ar,4779-1030,381,False,
No Operadora,DESARROLLOS PETROLEROS y GANADEROS S.A.,2,2010,34640917611.0,114,330,BDO. DE IRIGOYEN,2010-08-11T00:00:00,36,1072,nancyrodriguez@estudio-pld.com,4343-6929,300,False,
Operadora,ENAP SIPETROL ARGENTINA S.A.,1,2010,30693209273.0,363,1,Tucuman,2010-08-09T00:00:00,,C1049AAA,,48752600,273,False,
No Operadora,ENERGIA ANDINA S.A,5º,2010,30709868728.0,1200,336,RECONQUISTA ,2010-07-28T00:00:00,"Departamento ""M""",1335,,011-43947625,431,False,
No Operadora,ENERGIA MENDOCINA S.A.,5º,2010,30710777612.0,1240,336,Reconquista ,2010-07-28T00:00:00,M,1335,dfp@estudioaranguren.com.ar,011-43947625,422,False,
Operadora,EZ HOLDINGS S.A.,5,2010,30628830165.0,1001,555,Tte. Gral Perón,2010-08-02T00:00:00,"Estudio Bazán, Cambré & Orts",C1036AAK,,43267777,329,False,
Operadora,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),10,2010,30642555274.0,1009,1136,Cerrito,2010-07-28T00:00:00,,1010,,4813-2044,253,False,
No Operadora,HOMAQ S.A.,9°,2010,33688020889.0,1127,1427,Carlos Pellegrini,2010-08-12T00:00:00,,C1011AAC,bisutti@holdec.com.ar,4327-4199,340,False,
Operadora,INGENIERIA ALPA S.A.,5°,2010,30628570228.0,167,796,Av.Callao,2010-07-19T00:00:00,,1023,randriano@ing-alpa.com.ar,4816-3291,191,False,
Operadora,INGENIERIA SIMA S.A.,4,2010,30556987846.0,309,485,Av.Belgrano ,2010-08-04T00:00:00,10,1100,info@sima.com.ar,(011) 4331-0446,308,False,
Operadora,INTERENERGY ARGENTINA S.A.,5°,2010,30701959104.0,1007,948,Córdoba,2010-07-27T00:00:00,C,C1054AAV,,4796-6000,326,False,
Operadora,KILWER S.A.,,2010,30663213675.0,1141,1441,Angel J. Carranza,2010-07-21T00:00:00,,1414,patagonia.petroleo@patagonia-petroleo.com.ar,4-779-4041,268,False,
No Operadora,MADALENA PETROLEUM LTD (SUCURSAL ARGENTINA),10,2010,30709060291.0,1183,1136,Cerrito,2010-07-26T00:00:00,FRENTE,1010,,4394-4535,395,False,
Operadora,MEDANITO S.A.,,2010,30661758410.0,204,771,Dr. Adolfo Alsina,2010-04-20T00:00:00,,1087,info@medanito.com.ar,011-5355-8100,254,False,
No Operadora,METRO HOLDING S.A.,1,2010,30657262559.0,1115,150,Macacha Güemes,2010-07-20T00:00:00,-,C1106BKD,-,43186800,303,False,
No Operadora,MOBIL ARGENTINA S.A.,2,2010,30625875362.0,199,295,Juana Manso,2010-07-29T00:00:00,,C1107CBE,,(011) 5274-6300,285,False,
Operadora,NECON S.A.,3º,2010,30505397270.0,208,1149,Carlos Pellegrini ,2010-08-05T00:00:00,,1009,hboggi@petronec.com.ar,4326-0516,147,False,
No Operadora,NORTHWEST ARGENTINA CORPORATION (SUCURSAL ARGENTINA),26,2010,30616185787.0,1219,498,Av. del Libertador,2010-07-12T00:00:00,,1001ABR,apco@apco.com.ar,5277-6999,324,False,
Operadora,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",1°,2010,30642651391.0,223,323,Mauela Sáenz,2010-08-12T00:00:00,,C1107BPA,,4324-5000,132,False,
Operadora,OIL M&S S.A.,7,2010,30707620567.0,1053,657,Av. Córdoba,2010-09-09T00:00:00,,C1054AAF,,4314-1006,372,False,
Operadora,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,1,2010,30695542476.0,225,1180,Av. Leandro N. Alem,2010-07-30T00:00:00,,1001,msferreyra@pan-energy.com,4310-4100,18,False,
Operadora,PAN AMERICAN FUEGUINA S.A.,1,2010,30697282196.0,226,1180,Av. Leandro N. Alem,2010-08-02T00:00:00,,1001,msferreyra@pan-energy.com,4310-4293,288,False,
No Operadora,PAN AMERICAN SUR S.A.,1,2010,30697281963.0,259,1180,Domicilio Fiscal: Av. Leandro N. Alem,2010-08-02T00:00:00,,1001,msferreyra@pan-energy.com,4310-4293,289,False,
Operadora,PETROBRAS ARGENTINA S.A.,,2010,30504077078.0,233,1,Maipú ,2011-01-27T00:00:00,,1084ABA,enrique.prini@petrobras.com,4344-6265,24,False,
Operadora,PETROFARO S.A.,9,2010,30708304081.0,1184,1230,Sarmiento,2010-07-19T00:00:00,,C1041AAZ,,4132-4100,353,False,
Operadora,PETROLEOS SUDAMERICANOS S.A.,4,2010,33652607689.0,273,1,Tucuman,2010-09-17T00:00:00,,1049,gpastorini@cgfsa.com.ar,4722-5111,211,False,
Operadora,PETROLERA CERRO NEGRO S.A.,10,2010,30709918733.0,1229,657,Av. Córdoba,2011-06-13T00:00:00,,1054,,4314-1006,421,False,
Operadora,PETROLERA EL TREBOL S.A.,5,2010,30705037775.0,1011,826,Talcahuano,2010-07-26T00:00:00,,1013,apicardi@petrebol.com.ar,011-5258-7500,325,False,
Operadora,PETROLERA ENTRE LOMAS S.A.,18,2010,33515950899.0,244,680,Bouchard,2010-07-28T00:00:00,,C1106ABJ,,4313-4260,213,False,
Operadora,PETROLERA PATAGONIA S.R.L.,10,2010,30708535997.0,1014,1136,Cerrito,2010-07-27T00:00:00,,1010,,4394-4535,352,False,
Operadora,PETROLERA SAN JOSE S.R.L.,23,2010,30708461101.0,277,1300,Maipu,2010-08-02T00:00:00,,1006,c_carro@petrolerasanjose.com.ar,4313-6316,349,False,
Operadora,PETROQUIMICA COMODORO RIVADAVIA S.A.,3,2010,30563598111.0,236,2030/50,Alicia Moreau de Justo,2010-06-18T00:00:00,304,1107,ffridman@pcr.com.ar CC mjuarezgoni@pcr.com.ar,4124-9800,92,False,
Operadora,PETRO TERRA CORPORATION,---,2010,30709264202.0,1015,1830,Salta,2010-10-26T00:00:00,---,1824 Lanus,,+54(0)111558676272,362,False,
No Operadora,PETROURUGUAY S.A.,12,2010,30644648717.0,346,498,Avenida Del Libertador,2010-08-06T00:00:00,1220,1001,,45159200,423,False,
Operadora,PLUSPETROL ENERGY S.A.,,2010,30568572099.0,362,339,Lima,2010-06-25T00:00:00,,C1073AAG,,54-11-4340-2222,109,False,
No Operadora,PLUSPETROL S.A.,,2010,30678224010.0,256,339,Lima,2010-06-25T00:00:00,,C1073AAG,,54-11-4340-2222,257,False,
Operadora,PLUSPETROL S.A.,,2010,30678224010.0,256,339,Lima,2010-06-25T00:00:00,,C1073AAG,,54-11-4340-2222,257,False,
Operadora,ROCH S.A.,21,2010,30638375628.0,295,1020,AV. EDUARDO MADERO,2010-04-23T00:00:00,,C1106ACX,pdelibes@roch.com.ar,4315-7624,134,False,
Operadora,ROVELLA CARRANZA S.A.,4,2010,30615224827.0,1221,970,MORENO ,2010-08-04T00:00:00,81,C1091AAT,rc@rovellacarranza.com.ar,4342 2845,409,False,
No Operadora,SAN JORGE ENERGY S.A.,2,2010,30700990458.0,1253,925,Tte Gral J D Perón ,2010-09-02T00:00:00,,1038,,5554-5000,335,False,
Operadora,TECPETROL S.A.,20,2010,30592665472.0,337,299,C.M. Della Paolera,2010-07-16T00:00:00,,C1001 ADA,,(+54911) 40185900,121,False,
Operadora,TOTAL AUSTRAL S.A.,17,2010,30569719344.0,323,877,Moreno,2010-11-15T00:00:00,,1091,claudia.krinski@total.com,43466400,226,False,
Operadora,TOTAL AUSTRAL S.A.,17,2010,30569719344.0,323,877,Moreno,2010-11-15T00:00:00,,1091,,4346-6400,226,False,
Operadora,TRIPETROL PETROLEUM S.A.,23,2010,30644749025.0,1185,1300,Maipu,2010-08-03T00:00:00,,1006,c_carro@tripetrol.com,4313-6307,397,False,
Operadora,WINTERSHALL ENERGIA S.A.,10,2010,30601534815.0,356,757,Maipú,2010-07-22T00:00:00,,1006,,5554-2700,233,False,
Operadora,YPF S.A.,,2010,30546689979.0,360,515,MACACHA GÜEMES,2010-07-29T00:00:00,,C1106BKK,,011-5441-2000,215,False,
Operadora,YSUR ENERGÍA ARGENTINA S.R.L.,12,2010,30654521561.0,1024,1,Tucumán,2010-07-19T00:00:00,-,C1049AAA,apacheargentina@apachecorp.com,4335-5200,208,False,
Operadora,AMERICAS PETROGAS ARGENTINA S.A.,8,2011,30709725749.0,1111,1,Tucumán,2011-07-22T00:00:00,,C1049AAA,info@americaspetrogas.com,54 11 4121 5600,400,False,
No Operadora,ANDES ENERGIA ARGENTINA S.A.,,2011,30710346409.0,1296,1439,Angel J. Carranza,2011-12-07T00:00:00,,1414,carolinalandi@speedy.com.ar,4-779-4041,433,False,
No Operadora,APCO AUSTRAL S.A.,22,2011,30709316490.0,1218,265,Ing. Carlos María Della Paolera,2011-07-22T00:00:00,A,1001,apco@apco.com.ar,5277-6999,412,False,
Operadora,APCO OIL AND GAS INTERNATIONAL INC (SUCURSAL ARGENTINA),22,2011,30571423193.0,1248,265,Ing. Carlos Maria Della Paolera,2011-07-26T00:00:00,A,1001,apco@apco.com.ar,5277-6999,148,False,
Operadora,ARGENTA ENERGIA S.A.,4,2011,30709381705.0,1108,1016,Reconquista ,2011-07-18T00:00:00,,1003,jsavino@azaenergy.com,48934004,368,False,
No Operadora,CANADIAN HUNTER ARGENTINA S.R.L.,,2011,30700982331.0,1163,1,Maipu,2011-07-27T00:00:00,,C1084ABA,,4344-6000,315,False,
Operadora,CAPEX S.A.,5°,2011,30629827060.0,30,948,Córdoba,2011-07-29T00:00:00,C,C1054AAV,jorge.buciak@grupocapsa.com.ar,4796-6000,124,False,
Operadora,CENTRAL INTERNATIONAL CORPORATION (SUCURSAL ARGENTINA),11,2011,30707949828.0,83,222,Corrientes,2011-07-25T00:00:00,,C1043AAP,,5352-0160,348,False,
Operadora,CHAÑARES ENERGÍA S.A.,6°,2011,30594785629.0,129,1309,Av. Cordoba,2011-07-04T00:00:00,B,1055,fredylaz@hotmail.com,011 48120122,180,False,
Operadora,CHEVRON ARGENTINA S.R.L.,14,2011,30523479241.0,80,458,Reconquista,2011-07-25T00:00:00,,C1003ABJ,fbrunelli@allianibruzzon.com.ar,4325-5500,28,False,
Operadora,COLHUE HUAPI S.A.,3,2011,33682447899.0,90,259,Florida,2011-07-04T00:00:00,317,1005,info@colhue.com.ar,01148378000,251,False,
Operadora,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,5,2011,30506733932.0,78,602,Av. del Libertador,2011-07-13T00:00:00,-,C1001ABS,contacto@cgc.com.ar,01148376280,53,False,
Operadora,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,5°,2011,30568531392.0,61,948,Córdoba,2011-07-29T00:00:00,C,C1054AAV,,4796-6000,111,False,
No Operadora,CORPORACION FINANCIERA INTERNACIONAL ,18,2011,,77,1111,Suipacha,2011-10-25T00:00:00,,C1008AAW,pagbam@pagbam.com.ar,4114-3000,413,False,
Operadora,"CRI HOLDING, INC.",11,2011,33707529429.0,99,222,Corrientes,2011-07-26T00:00:00,,C1043AAP,,5352-0160,342,False,
Operadora,CROWN POINT ENERGIA S.A.,8,2011,30709346268.0,1097,1061,Luis Maria Campos,2011-08-19T00:00:00,,BOI1426,vcanalez@antrimenergy.com.ar,4779-1030,381,False,
Operadora,ENAP SIPETROL ARGENTINA S.A.,1,2011,30693209273.0,363,1,Tucuman,2011-08-08T00:00:00,,C1049AAA,,48752600,273,False,
No Operadora,ENERGIA ANDINA S.A,5º,2011,30709868728.0,1200,336,RECONQUISTA ,2011-08-02T00:00:00,"Departamento ""M""",1335,,011-43947625,431,False,
Operadora,ENERGIA DE SAN LUIS SAPEM,,2011,30710041195.0,1291,1087,AZCUENAGA,2011-10-26T00:00:00,,1425,,011-57781665/57781621,430,False,
No Operadora,ENERGIA MENDOCINA S.A.,5º,2011,30710777612.0,1240,336,Reconquista ,2011-08-02T00:00:00,M,1335,dfp@estudioaranguren.com.ar,011-43947625,422,False,
Operadora,GRECOIL y CIA. S.R.L.,0,2011,30672218957.0,1017,1441,CARRANZA,2011-07-11T00:00:00,0,1414,carolinalandi@speedy.com.ar,011 41105150,374,False,
No Operadora,"GREGORIO, NUMO Y NOEL WERTHEIN SAAGCI",10,2011,30710002858.0,1220,900,Av. Eduardo Madero,2011-08-29T00:00:00,,C1106ACV,,4316-9000,396,False,
No Operadora,HIGH LUCK GROUP LTD. - SUCURSAL ARGENTINA,5,2011,30710837313.0,1211,1210,Maipú,2011-07-26T00:00:00,,C1006ACT,ebellocq@brons.com.ar,(011) 4891-2728,419,False,
Operadora,INGENIERIA ALPA S.A.,5°,2011,30628570228.0,167,796,Av.Callao,2011-09-09T00:00:00,,1023,randriano@ing-alpa.com.ar,4816-3291,191,False,
Operadora,INTERENERGY ARGENTINA S.A.,5°,2011,30701959104.0,1007,948,Córdoba,2011-07-29T00:00:00,C,C1054AAV,,4796-6000,326,False,
Operadora,JHP INTERNATIONAL PETROLEUM ENGINEERING LTD,10,2011,30711036268.0,1157,1136,Cerrito,2011-03-16T00:00:00,,C1010AAX,xn.zhong@petroap.com,0387 4398484,386,False,
Operadora,KILWER S.A.,,2011,30663213675.0,1141,1441,Angel J. Carranza,2011-07-12T00:00:00,,1414,patagonia.petroleo@patagonia-petroleo.com.ar,4-779-4041,268,False,
Operadora,MADALENA AUSTRAL S.A.,5,2011,30710978499.0,1165,1209,POSADAS,2012-02-01T00:00:00,,1011,jesica.juri@madalena-ventures.com,48153939,403,False,
No Operadora,MADALENA PETROLEUM LTD (SUCURSAL ARGENTINA),9,2011,30709060291.0,1183,1230,Sarmiento,2011-07-26T00:00:00,,C1041AAZ,,41324100,395,False,
Operadora,MAXIPETROL - PETROLEROS DE OCCIDENTE S.A.,5,2011,30709672955.0,1228,836,Cerrito,2011-09-30T00:00:00,,C1010AAR,,48128539,385,False,
Operadora,MEDANITO S.A.,,2011,30661758410.0,204,771,Dr. Adolfo Alsina,2011-01-19T00:00:00,,1087,info@medanito.com.ar,011-5355-8100,254,False,
Operadora,MEDANITO S.A.,,2011,30661758410.0,204,771,Dr. Adolfo Alsina,2011-01-19T00:00:00,,C1087AAK,info@medanito.com.ar,011-5355-8100,254,False,
No Operadora,METRO HOLDING S.A.,1,2011,30657262559.0,1115,150,Macacha Güemes,2011-07-14T00:00:00,-,C1106BKD,-,43186800,303,False,
