idx;ano;mes;numero;uf;modalidade;proc;tipo;empresa;obj;valor;inicio;fim;value
13;2022;01;MEX-2022-9176;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Provisión de servicios de estimul - High Criticality Service;0;01/01/2022;31/12/2025;$ 43,000,000.00 MXN
14;2022;01;MEX-2022-3792;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Ejecución de trabajos de geol - High Criticality Service;0;01/01/2022;31/12/2025;$ 38,000,000.00 MXN
15;2022;01;MEX-2022-2297;XX;LIC;PUBLIC;SERVICE;DIAVAZ;Ejecución de trabajos de estimul - High Criticality Service;0;01/01/2022;31/12/2025;$ 11,000,000.00 MXN
16;2024;01;MEX-2024-4744;XX;LIC;PUBLIC;SERVICE;COTEMAR;Provisión de servicios de estimul - High Criticality Service;0;01/01/2024;31/12/2027;$ 11,000,000.00 MXN
17;2021;01;MEX-2021-0047;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Provisión de servicios de mpd - High Criticality Service;0;01/01/2021;31/12/2024;$ 45,000,000.00 MXN
18;2026;01;MEX-2026-7487;XX;LIC;PUBLIC;SERVICE;DIAVAZ;Provisión de servicios de geol - High Criticality Service;0;01/01/2026;31/12/2029;$ 45,000,000.00 MXN
19;2020;01;MEX-2020-4958;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Ejecución de trabajos de constru - High Criticality Service;0;01/01/2020;31/12/2023;$ 15,000,000.00 MXN
20;2026;01;MEX-2026-6762;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Provisión de servicios de complet - High Criticality Service;0;01/01/2026;31/12/2029;$ 40,000,000.00 MXN
21;2025;01;MEX-2025-5962;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Suministro de materiales para constru - High Criticality Service;0;01/01/2025;31/12/2028;$ 18,000,000.00 MXN
22;2025;01;MEX-2025-3169;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Suministro de materiales para geol - High Criticality Service;0;01/01/2025;31/12/2028;$ 47,000,000.00 MXN
23;2026;01;MEX-2026-1719;XX;LIC;PUBLIC;SERVICE;DIAVAZ;Suministro de materiales para estimul - High Criticality Service;0;01/01/2026;31/12/2029;$ 43,000,000.00 MXN
24;2023;01;MEX-2023-2610;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Servicios integrales de fluidos - High Criticality Service;0;01/01/2023;31/12/2026;$ 30,000,000.00 MXN
25;2023;01;MEX-2023-9820;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Suministro de materiales para complet - High Criticality Service;0;01/01/2023;31/12/2026;$ 31,000,000.00 MXN
26;2021;01;MEX-2021-2492;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Provisión de servicios de ciment - High Criticality Service;0;01/01/2021;31/12/2024;$ 41,000,000.00 MXN
27;2022;01;MEX-2022-3694;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Servicios integrales de ciment - High Criticality Service;0;01/01/2022;31/12/2025;$ 42,000,000.00 MXN
28;2026;01;MEX-2026-9706;XX;LIC;PUBLIC;SERVICE;COTEMAR;Suministro de materiales para workover - High Criticality Service;0;01/01/2026;31/12/2029;$ 18,000,000.00 MXN
29;2024;01;MEX-2024-1978;XX;LIC;PUBLIC;SERVICE;DIAVAZ;Suministro de materiales para ciment - High Criticality Service;0;01/01/2024;31/12/2027;$ 39,000,000.00 MXN
30;2026;01;MEX-2026-7374;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Ejecución de trabajos de ciment - High Criticality Service;0;01/01/2026;31/12/2029;$ 27,000,000.00 MXN
31;2026;01;MEX-2026-5034;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Provisión de servicios de mpd - High Criticality Service;0;01/01/2026;31/12/2029;$ 18,000,000.00 MXN
32;2021;01;MEX-2021-2053;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Provisión de servicios de geol - High Criticality Service;0;01/01/2021;31/12/2024;$ 26,000,000.00 MXN
33;2022;01;MEX-2022-5217;XX;LIC;PUBLIC;SERVICE;DIAVAZ;Suministro de materiales para workover - High Criticality Service;0;01/01/2022;31/12/2025;$ 21,000,000.00 MXN
34;2021;01;MEX-2021-0474;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Servicios integrales de ciment - High Criticality Service;0;01/01/2021;31/12/2024;$ 36,000,000.00 MXN
35;2023;01;MEX-2023-7888;XX;LIC;PUBLIC;SERVICE;DIAVAZ;Servicios integrales de mpd - High Criticality Service;0;01/01/2023;31/12/2026;$ 24,000,000.00 MXN
36;2022;01;MEX-2022-0376;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Provisión de servicios de fluidos - High Criticality Service;0;01/01/2022;31/12/2025;$ 15,000,000.00 MXN
37;2026;01;MEX-2026-5525;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Servicios integrales de constru - High Criticality Service;0;01/01/2026;31/12/2029;$ 11,000,000.00 MXN
38;2024;01;MEX-2024-0791;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Provisión de servicios de mpd - High Criticality Service;0;01/01/2024;31/12/2027;$ 28,000,000.00 MXN
39;2022;01;MEX-2022-8765;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Provisión de servicios de workover - High Criticality Service;0;01/01/2022;31/12/2025;$ 6,000,000.00 MXN
40;2025;01;MEX-2025-3337;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Provisión de servicios de ciment - High Criticality Service;0;01/01/2025;31/12/2028;$ 9,000,000.00 MXN
41;2025;01;MEX-2025-2033;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Ejecución de trabajos de complet - High Criticality Service;0;01/01/2025;31/12/2028;$ 31,000,000.00 MXN
42;2020;01;MEX-2020-7909;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Suministro de materiales para complet - High Criticality Service;0;01/01/2020;31/12/2023;$ 38,000,000.00 MXN
43;2020;01;MEX-2020-7557;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Provisión de servicios de workover - High Criticality Service;0;01/01/2020;31/12/2023;$ 14,000,000.00 MXN
44;2021;01;MEX-2021-6105;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Servicios integrales de geol - High Criticality Service;0;01/01/2021;31/12/2024;$ 18,000,000.00 MXN
45;2021;01;MEX-2021-9694;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Ejecución de trabajos de mpd - High Criticality Service;0;01/01/2021;31/12/2024;$ 40,000,000.00 MXN
46;2025;01;MEX-2025-4535;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Servicios integrales de geol - High Criticality Service;0;01/01/2025;31/12/2028;$ 41,000,000.00 MXN
47;2021;01;MEX-2021-4698;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Provisión de servicios de workover - High Criticality Service;0;01/01/2021;31/12/2024;$ 41,000,000.00 MXN
48;2020;01;MEX-2020-6017;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Ejecución de trabajos de estimul - High Criticality Service;0;01/01/2020;31/12/2023;$ 32,000,000.00 MXN
49;2024;01;MEX-2024-5210;XX;LIC;PUBLIC;SERVICE;COTEMAR;Ejecución de trabajos de geol - High Criticality Service;0;01/01/2024;31/12/2027;$ 45,000,000.00 MXN
50;2026;01;MEX-2026-4674;XX;LIC;PUBLIC;SERVICE;COTEMAR;Ejecución de trabajos de fluidos - High Criticality Service;0;01/01/2026;31/12/2029;$ 26,000,000.00 MXN
51;2025;01;MEX-2025-2309;XX;LIC;PUBLIC;SERVICE;COTEMAR;Provisión de servicios de workover - High Criticality Service;0;01/01/2025;31/12/2028;$ 14,000,000.00 MXN
52;2022;01;MEX-2022-2860;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Suministro de materiales para estimul - High Criticality Service;0;01/01/2022;31/12/2025;$ 30,000,000.00 MXN
53;2022;01;MEX-2022-9590;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Provisión de servicios de complet - High Criticality Service;0;01/01/2022;31/12/2025;$ 53,000,000.00 MXN
54;2026;01;MEX-2026-6624;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Suministro de materiales para fluidos - High Criticality Service;0;01/01/2026;31/12/2029;$ 32,000,000.00 MXN
55;2023;01;MEX-2023-9248;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Servicios integrales de ciment - High Criticality Service;0;01/01/2023;31/12/2026;$ 52,000,000.00 MXN
56;2022;01;MEX-2022-1458;XX;LIC;PUBLIC;SERVICE;COTEMAR;Suministro de materiales para fluidos - High Criticality Service;0;01/01/2022;31/12/2025;$ 34,000,000.00 MXN
57;2026;01;MEX-2026-8145;XX;LIC;PUBLIC;SERVICE;COTEMAR;Suministro de materiales para complet - High Criticality Service;0;01/01/2026;31/12/2029;$ 44,000,000.00 MXN
58;2023;01;MEX-2023-0464;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Servicios integrales de geol - High Criticality Service;0;01/01/2023;31/12/2026;$ 48,000,000.00 MXN
59;2020;01;MEX-2020-0630;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Servicios integrales de geol - High Criticality Service;0;01/01/2020;31/12/2023;$ 52,000,000.00 MXN
60;2026;01;MEX-2026-9368;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Provisión de servicios de geol - High Criticality Service;0;01/01/2026;31/12/2029;$ 14,000,000.00 MXN
61;2020;01;MEX-2020-3448;XX;LIC;PUBLIC;SERVICE;DIAVAZ;Suministro de materiales para workover - High Criticality Service;0;01/01/2020;31/12/2023;$ 9,000,000.00 MXN
62;2024;01;MEX-2024-5957;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Provisión de servicios de mpd - High Criticality Service;0;01/01/2024;31/12/2027;$ 51,000,000.00 MXN
63;2020;01;MEX-2020-1113;XX;LIC;PUBLIC;SERVICE;DIAVAZ;Ejecución de trabajos de mpd - High Criticality Service;0;01/01/2020;31/12/2023;$ 51,000,000.00 MXN
64;2026;01;MEX-2026-4495;XX;LIC;PUBLIC;SERVICE;DIAVAZ;Servicios integrales de fluidos - High Criticality Service;0;01/01/2026;31/12/2029;$ 7,000,000.00 MXN
