numero;tipo;gravidade;evento
2610/191485;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/972121;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Johan Sverdrup) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/961736;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/905282;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/994486;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/829635;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Oseberg Field Centre) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/747892;SSO - BOP failure during test/operation;MINOR;(NCS-Aasta Hansteen) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/767986;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Statfjord B) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/786528;SSO - Major structural fatigue or damage;MODERATE;(NCS-Statfjord B) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/797665;SSO - Major structural fatigue or damage;MODERATE;(NCS-Valhall) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/601542;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/538450;SSO - Major structural fatigue or damage;MINOR;(NCS-Aasta Hansteen) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/267132;SSO - Incident involving Well Control equipment / kick;SEVERE;(NCS-Valhall) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/284730;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/156429;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/121959;SSO - Incident involving Well Control equipment / kick;MODERATE;(NCS-Troll A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2609/062609;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/880033;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/868844;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Johan Sverdrup) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/852118;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/890699;SSO - BOP failure during test/operation;MODERATE;(NCS-Snorre A) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/762544;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Heidrun) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/705052;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/609173;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/602385;SSO - CSB / Shear system malfunction;MINOR;(NCS-Martin Linge) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/530944;SSO - Complete loss of well control;MINOR;(NCS-Heidrun) Detected loss of well control condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/590887;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/483579;SSO - BOP failure during test/operation;SEVERE;(NCS-Ekofisk Complex) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/409493;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/338021;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/205619;SSO - BOP failure during test/operation;MODERATE;(NCS-Oseberg Field Centre) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/241404;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/213564;SSO - BOP failure during test/operation;MODERATE;(NCS-Asgard A) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/189081;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Oseberg Field Centre) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2608/091229;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/748408;SSO - Complete loss of well control;MINOR;(NCS-Troll A) Detected loss of well control condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/749872;SSO - CSB / Shear system malfunction;MINOR;(NCS-Heidrun) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/773786;SSO - Complete loss of well control;MINOR;(NCS-Asgard A) Detected loss of well control condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/581539;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Johan Sverdrup) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/507370;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/530381;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/559529;SSO - BOP failure during test/operation;MINOR;(NCS-Heidrun) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/564332;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/485560;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/395382;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/299535;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/204091;SSO - Accidental hydrocarbon leak >0.1kg/s;SEVERE;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/164134;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2607/053553;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/944492;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/837731;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/644318;SSO - BOP failure during test/operation;MINOR;(NCS-Snorre A) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/691669;SSO - Incident involving Well Control equipment / kick;MODERATE;(NCS-Valhall) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/625509;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/558731;SSO - Incident involving Well Control equipment / kick;MODERATE;(NCS-Johan Sverdrup) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/597751;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/393281;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/224342;SSO - BOP failure during test/operation;MODERATE;(NCS-Aasta Hansteen) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/147096;SSO - Incident involving Well Control equipment / kick;SEVERE;(NCS-Valhall) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/177188;SSO - CSB / Shear system malfunction;MINOR;(NCS-Asgard A) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/063321;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/094064;SSO - Dropped objects > 50 Joules;SEVERE;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2606/003782;SSO - CSB / Shear system malfunction;MINOR;(NCS-Gullfaks C) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/950961;SSO - Dropped objects > 50 Joules;SEVERE;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/926485;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/963630;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/954896;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/725054;SSO - Major structural fatigue or damage;MODERATE;(NCS-Oseberg Field Centre) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/757635;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Snorre A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/711756;SSO - Major structural fatigue or damage;MINOR;(NCS-Statfjord B) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/787211;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/658523;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/657447;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/536681;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Ekofisk Complex) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/593596;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Johan Sverdrup) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/451100;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/357404;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/210977;SSO - Incident involving Well Control equipment / kick;MODERATE;(NCS-Troll A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/183370;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2605/038704;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/904126;SSO - CSB / Shear system malfunction;MINOR;(NCS-Snorre A) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/832036;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/822919;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/703851;SSO - Major structural fatigue or damage;MODERATE;(NCS-Heidrun) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/690250;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/695434;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/431924;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/461472;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Aasta Hansteen) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/252812;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/230732;SSO - Dropped objects > 50 Joules;SEVERE;(NCS-Johan Sverdrup) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/222249;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/135400;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/197110;SSO - CSB / Shear system malfunction;MINOR;(NCS-Martin Linge) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/160236;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/146804;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Snorre A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/164589;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/043422;SSO - Complete loss of well control;SEVERE;(NCS-Statfjord B) Detected loss of well control condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2604/080009;SSO - BOP failure during test/operation;MINOR;(NCS-Aasta Hansteen) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2603/782316;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2603/555007;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2603/401437;SSO - Major structural fatigue or damage;MINOR;(NCS-Aasta Hansteen) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2603/402432;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Troll A) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2603/354615;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2603/328461;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Statfjord B) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2603/300024;SSO - CSB / Shear system malfunction;MINOR;(NCS-Oseberg Field Centre) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2603/219540;SSO - BOP failure during test/operation;MINOR;(NCS-Oseberg Field Centre) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2603/294465;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2603/114362;SSO - Major structural fatigue or damage;MINOR;(NCS-Asgard A) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/932075;SSO - BOP failure during test/operation;MINOR;(NCS-Heidrun) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/887863;SSO - Major structural fatigue or damage;MODERATE;(NCS-Aasta Hansteen) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/751129;SSO - BOP failure during test/operation;MINOR;(NCS-Aasta Hansteen) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/756532;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Aasta Hansteen) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/601502;SSO - BOP failure during test/operation;MINOR;(NCS-Martin Linge) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/614912;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/507730;SSO - BOP failure during test/operation;SEVERE;(NCS-Heidrun) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/496442;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Valhall) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/498082;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/327571;SSO - Accidental hydrocarbon leak >0.1kg/s;SEVERE;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/348030;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/300132;SSO - BOP failure during test/operation;SEVERE;(NCS-Aasta Hansteen) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/260945;SSO - BOP failure during test/operation;MINOR;(NCS-Johan Sverdrup) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/195643;SSO - BOP failure during test/operation;MINOR;(NCS-Snorre A) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/060559;SSO - BOP failure during test/operation;MODERATE;(NCS-Gullfaks C) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2602/030153;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2601/998958;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2601/870001;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2601/772693;SSO - BOP failure during test/operation;MINOR;(NCS-Troll A) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2601/717125;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Johan Sverdrup) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2601/778599;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2601/769138;SSO - Incident involving Well Control equipment / kick;SEVERE;(NCS-Valhall) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2601/713388;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2601/374327;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2601/234421;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
