Numero;Tipo_de_incidente;DSC_GRAVIDADE_TIPO;DSC_QUASE_ACIDENTE_ACIDENTE
1701/000237;Falha da barreira primária na perfuração ou intervenção em poços (kick);MODERADO;Acidente
1702/000048;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1702/000139;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1702/000192;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1702/000205;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1704/000014;SSO - Falha estrutural em poço;;
1704/000068;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1705/000018;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1705/001052;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1705/001074;SSO - Falha estrutural em poço;;
1705/001084;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1705/001179;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1706/000053;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1708/000017;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1708/000018;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1708/003127;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1709/000108;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1803/000069;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1803/001099;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1804/000011;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1804/000015;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1804/000020;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1805/000109;SSO - Falha estrutural em poço;;
1806/000008;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1806/000058;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1806/000255;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1806/000268;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1806/000273;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1806/000330;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1807/000127;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1807/000127;SSO - Perda significante de controle de poço;;
1807/000133;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1808/000040;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1808/000074;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1808/000087;SSO - Falha estrutural em poço;;
1808/000131;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1808/000145;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1808/000195;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1809/000077;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1809/000100;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1809/000126;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1810/001085;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1811/000015;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1901/000102;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1903/000057;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1905/000070;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1906/000052;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1906/000081;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
1906/000081;Falha estrutural em poço;MODERADO;Acidente
1906/000086;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1906/000108;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1907/000041;SSO - Perda maior de controle de poço;;
1908/000121;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1909/000061;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1909/000118;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1909/000139;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1910/000029;SSO - Falha estrutural em poço;;
1910/000057;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1910/000145;SSO - Falha estrutural em poço;;
1911/000009;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1911/000023;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
1911/000071;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
1912/000009;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
2002/000014;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
2003/000061;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
2003/001099;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2003/003126;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2003/003183;Perda significante de controle de poço;GRAVE;Acidente
2003/003184;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
2003/003189;Falha da barreira primária na perfuração ou intervenção em poços (kick);MODERADO;Acidente
2004/000038;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/000039;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/000040;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/000041;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/000042;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/000043;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/000044;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/000045;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/001109;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/001125;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/001126;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/001127;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2004/001128;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2005/000040;Perda significante de controle de poço;GRAVE;Acidente
2005/000053;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2005/000066;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2006/000038;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
2006/000108;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2006/000109;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2007/000069;Falha da barreira primária na perfuração ou intervenção em poços (kick);MODERADO;Acidente
2008/000011;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2008/000014;Falha da barreira primária na perfuração ou intervenção em poços (kick);MODERADO;Acidente
2008/000015;Falha da barreira primária na perfuração ou intervenção em poços (kick);MODERADO;Acidente
2009/000038;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2010/000139;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
2011/000040;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2011/000087;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2011/000097;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2011/000098;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2011/000101;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2011/000103;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2011/000109;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2011/000110;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2011/000115;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2011/000116;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2011/000134;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2011/000135;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2011/000169;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2011/000170;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/000002;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/000008;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/000019;Falha da barreira primária na perfuração ou intervenção em poços (kick);MODERADO;Acidente
2012/000034;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/000040;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/000041;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001054;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001063;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001073;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001076;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001080;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001088;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001092;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001093;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2012/001097;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001099;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001100;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2012/001105;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2012/001107;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2012/001113;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001119;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2012/001125;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2012/001128;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2012/001151;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001158;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001167;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2012/001172;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000005;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000011;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000017;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000031;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000056;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000057;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000078;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000079;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000085;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000102;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000112;Falha da barreira primária na perfuração ou intervenção em poços (kick);MODERADO;Acidente
2101/000122;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000126;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000130;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000136;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000140;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2101/000150;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000010;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000014;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000035;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000044;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000049;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000056;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2102/000069;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000077;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000083;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000085;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000113;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2102/000122;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000124;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000129;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2102/000134;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000136;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000139;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000152;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2102/000153;Falha da barreira primária na perfuração ou intervenção em poços (kick);MODERADO;Acidente
2103/000006;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000008;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000017;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000021;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000053;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000054;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000056;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000068;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000071;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2103/000078;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000082;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000083;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000087;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000099;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000107;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000112;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000114;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000121;Falha da barreira primária na perfuração ou intervenção em poços (kick);MODERADO;Acidente
2103/000123;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000125;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000127;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000137;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000139;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/000145;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/001149;SSO - Falha de elemento do conjunto solidário de barreira (CSB);;
2103/001165;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/001166;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2103/001171;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000012;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000022;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000063;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000065;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000089;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000102;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000108;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000109;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000113;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000114;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000128;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000130;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000138;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000144;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000145;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2104/000148;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000011;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000012;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000014;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000015;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000016;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000017;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000018;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000019;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000020;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000021;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000022;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000023;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000024;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000026;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000027;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000029;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000030;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000031;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000032;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000033;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000034;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000035;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000036;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000037;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000038;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000039;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000041;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000052;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000054;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000055;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000063;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000064;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000065;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000072;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000078;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000081;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000087;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000089;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000098;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000100;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000101;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000117;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000118;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000120;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000121;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000123;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/000123;Falha estrutural em poço;MODERADO;Acidente
2105/001129;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/001136;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/001138;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/001143;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/001147;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/001148;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/002146;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/002150;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/002155;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/002156;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/002157;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/002158;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/002171;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
2105/002172;Falha de elemento do conjunto solidário de barreira (CSB);LEVE;Quase acidente
