id_pozo,operador,cuenca,formacion,year,etapas_fractura,agua_m3,presion_max_psi,potencia_hp,longitud_lateral_m,offshore_flag
MX-WELL-1050,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2024,49,21338,6412,17543,1228,1
MX-WELL-1051,ENI MÉXICO,SURESTE,jurásico superior,2023,28,57295,8786,27506,2071,1
MX-WELL-1052,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,jurásico superior,2019,16,46208,9766,15644,2826,0
MX-WELL-1053,FIELDWOOD ENERGY,SURESTE,agua nueva,2018,29,60517,10492,10698,2724,1
MX-WELL-1054,PEMEX EXPLORACIÓN Y PRODUCCIÓN,VERACRUZ,pimienta,2023,11,69163,6717,42307,1350,0
MX-WELL-1055,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2023,25,70566,7167,37192,1562,1
MX-WELL-1056,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2024,9,33714,11334,18924,734,1
MX-WELL-1057,HOKCHI ENERGY,VERACRUZ,cretácico,2024,48,82592,7542,31677,2176,0
MX-WELL-1058,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,pimienta,2016,9,98092,11541,36962,2019,1
MX-WELL-1059,WINTERSHALL DEA,BURGOS,jurásico superior,2021,29,11324,15347,33803,2310,0
MX-WELL-1060,FIELDWOOD ENERGY,SURESTE,cretácico,2024,23,25485,10268,14748,1253,1
MX-WELL-1061,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2023,43,62224,12530,24683,689,1
MX-WELL-1062,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2015,42,77641,9627,32700,2352,1
MX-WELL-1063,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2019,40,40354,12190,27640,2049,1
MX-WELL-1064,PEMEX EXPLORACIÓN Y PRODUCCIÓN,VERACRUZ,cretácico,2017,20,51430,14120,17114,1535,0
MX-WELL-1065,PETROBAL,SURESTE,jurásico superior,2022,32,39703,15337,29129,1039,1
MX-WELL-1066,PEMEX EXPLORACIÓN Y PRODUCCIÓN,VERACRUZ,agua nueva,2020,21,48088,12132,41471,1424,0
MX-WELL-1067,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2017,9,60990,6009,29255,1297,1
MX-WELL-1068,WINTERSHALL DEA,SURESTE,jurásico superior,2015,5,18415,13449,14158,1740,1
MX-WELL-1069,PETROBAL,BURGOS,pimienta,2016,45,18702,6384,10404,3370,0
MX-WELL-1070,WINTERSHALL DEA,BURGOS,agua nueva,2020,7,60612,13190,33524,3224,0
MX-WELL-1071,FIELDWOOD ENERGY,SURESTE,jurásico superior,2023,5,55106,10780,27100,1969,1
MX-WELL-1072,WINTERSHALL DEA,TAMPICO-MISANTLA,jurásico superior,2022,43,24489,6249,38538,767,0
MX-WELL-1073,ENI MÉXICO,VERACRUZ,jurásico superior,2025,21,63871,8814,29758,3466,0
MX-WELL-1074,FIELDWOOD ENERGY,TAMPICO-MISANTLA,terciario,2017,43,91317,12881,16949,1829,0
MX-WELL-1075,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2016,42,66800,15550,14637,1258,1
MX-WELL-1076,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,terciario,2024,21,97369,8832,29963,2375,0
MX-WELL-1077,PEMEX EXPLORACIÓN Y PRODUCCIÓN,VERACRUZ,cretácico,2025,47,22015,7906,16254,1260,0
MX-WELL-1078,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2022,8,51240,7887,43434,592,1
MX-WELL-1079,PETROBAL,TAMPICO-MISANTLA,jurásico superior,2019,9,97505,10777,33061,1928,0
MX-WELL-1080,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2016,18,91818,13240,33321,2796,1
MX-WELL-1081,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,cretácico,2025,21,74291,7276,32195,3266,0
MX-WELL-1082,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,jurásico superior,2021,18,54247,6364,14621,3246,0
MX-WELL-1083,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,pimienta,2025,49,98869,12882,44674,1715,0
MX-WELL-1084,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2023,21,16229,13641,14632,2692,1
MX-WELL-1085,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2023,49,36734,12371,36069,2581,1
MX-WELL-1086,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2024,45,70004,8739,44529,2475,1
MX-WELL-1087,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2019,26,11605,11622,16767,3063,1
MX-WELL-1088,WINTERSHALL DEA,SURESTE,pimienta,2022,13,23046,14434,14324,3095,1
MX-WELL-1089,PETROBAL,BURGOS,cretácico,2025,8,97886,14837,10117,3428,0
MX-WELL-1090,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,pimienta,2016,19,20954,12316,42043,2168,0
MX-WELL-1091,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2015,24,46976,12283,12048,2637,1
MX-WELL-1092,FIELDWOOD ENERGY,SURESTE,cretácico,2018,17,57362,9744,10009,760,1
MX-WELL-1093,PEMEX EXPLORACIÓN Y PRODUCCIÓN,VERACRUZ,jurásico superior,2016,24,18512,7342,29216,3324,0
MX-WELL-1094,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2015,9,22219,6235,11908,875,1
MX-WELL-1095,PETROBAL,SURESTE,jurásico superior,2015,44,46159,11951,31852,1372,1
MX-WELL-1096,FIELDWOOD ENERGY,TAMPICO-MISANTLA,pimienta,2019,9,29282,13546,10077,3121,0
MX-WELL-1097,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,jurásico superior,2022,12,85046,12943,21954,2969,0
MX-WELL-1098,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2015,37,21246,10033,28381,1320,1
MX-WELL-1099,REPSOL EXPLORACIÓN MÉXICO,TAMPICO-MISANTLA,jurásico superior,2020,7,93122,14135,41273,1971,0
MX-WELL-1100,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,cretácico,2021,31,61356,7120,42154,1450,0
MX-WELL-1101,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,terciario,2019,14,53872,12028,33710,1314,1
MX-WELL-1102,ENI MÉXICO,SURESTE,jurásico superior,2022,9,24382,8371,13756,629,1
MX-WELL-1103,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2024,47,81315,12166,10814,845,1
MX-WELL-1104,REPSOL EXPLORACIÓN MÉXICO,SURESTE,cretácico,2016,29,25328,13790,36215,1327,1
MX-WELL-1105,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2019,41,10126,9177,37632,1103,1
MX-WELL-1106,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2022,45,13797,7792,21053,2136,1
MX-WELL-1107,PETROBAL,BURGOS,jurásico superior,2023,5,63173,10662,12708,1832,0
MX-WELL-1108,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,jurásico superior,2023,39,35150,6536,44393,2622,0
MX-WELL-1109,REPSOL EXPLORACIÓN MÉXICO,SURESTE,cretácico,2025,21,16783,15146,14971,1262,1
MX-WELL-1110,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2020,28,56240,12320,38734,1502,1
MX-WELL-1111,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2021,21,56163,9432,34917,3023,1
MX-WELL-1112,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2021,23,12079,8717,37952,928,1
MX-WELL-1113,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,cretácico,2015,18,48258,12645,36737,2201,0
MX-WELL-1114,FIELDWOOD ENERGY,SURESTE,jurásico superior,2021,43,58770,10873,44249,2401,1
MX-WELL-1115,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,agua nueva,2016,11,91244,6832,20998,2358,0
MX-WELL-1116,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,jurásico superior,2020,41,82258,13218,34160,1787,0
MX-WELL-1117,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,terciario,2022,47,22175,10547,31389,3282,1
MX-WELL-1118,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2015,27,70500,10242,30079,1414,1
MX-WELL-1119,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,pimienta,2019,24,95514,10841,25358,1909,1
MX-WELL-1120,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,pimienta,2019,42,11279,13083,27771,1803,1
MX-WELL-1121,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2021,36,61920,9186,37856,3073,1
MX-WELL-1122,HOKCHI ENERGY,TAMPICO-MISANTLA,cretácico,2023,26,61693,8051,21372,3157,0
MX-WELL-1123,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2019,46,48243,14232,41653,2581,1
MX-WELL-1124,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,pimienta,2021,46,26725,8074,25646,1145,0
MX-WELL-1125,HOKCHI ENERGY,SURESTE,cretácico,2019,11,69052,8969,34027,1201,1
MX-WELL-1126,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2025,5,29250,10788,21555,1894,1
MX-WELL-1127,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2018,43,38769,10150,33150,3211,1
MX-WELL-1128,REPSOL EXPLORACIÓN MÉXICO,TAMPICO-MISANTLA,jurásico superior,2018,24,77298,13101,34058,864,0
MX-WELL-1129,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,cretácico,2023,13,45111,11136,44008,560,0
MX-WELL-1130,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2017,41,96123,14363,19650,601,1
MX-WELL-1131,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2025,21,59481,9640,38470,2020,1
MX-WELL-1132,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,pimienta,2022,35,61860,7750,12421,1209,1
MX-WELL-1133,PETROBAL,BURGOS,cretácico,2025,30,37935,10873,39711,1210,0
MX-WELL-1134,PETROBAL,SURESTE,cretácico,2021,18,47198,14820,34070,636,1
MX-WELL-1135,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2016,35,64237,8419,35510,901,1
MX-WELL-1136,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,cretácico,2022,39,45435,13980,23409,630,0
MX-WELL-1137,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,terciario,2021,19,16640,11468,25317,1420,1
MX-WELL-1138,HOKCHI ENERGY,SURESTE,cretácico,2016,39,62393,6545,39430,2304,1
MX-WELL-1139,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,terciario,2021,33,39629,8032,18436,1247,0
MX-WELL-1140,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,agua nueva,2024,34,60072,14190,13430,839,0
MX-WELL-1141,HOKCHI ENERGY,SURESTE,jurásico superior,2022,34,44801,12467,42913,2481,1
MX-WELL-1142,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2023,19,90688,14056,33895,1463,1
MX-WELL-1143,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,terciario,2025,10,10806,15655,39757,2368,0
MX-WELL-1144,PETROBAL,TAMPICO-MISANTLA,jurásico superior,2022,24,91470,11429,44157,725,0
MX-WELL-1145,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2022,10,91412,7796,18245,1226,1
MX-WELL-1146,WINTERSHALL DEA,BURGOS,agua nueva,2025,46,94386,15041,36685,2763,0
MX-WELL-1147,WINTERSHALL DEA,SURESTE,cretácico,2023,13,44701,7380,27674,2140,1
MX-WELL-1148,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2017,29,98801,15547,38841,1020,1
MX-WELL-1149,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,terciario,2016,28,43742,10133,24663,1774,0
MX-WELL-1150,HOKCHI ENERGY,SURESTE,jurásico superior,2019,17,55648,11233,19516,2771,1
MX-WELL-1151,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,cretácico,2022,38,81719,9930,36572,2272,0
MX-WELL-1152,HOKCHI ENERGY,SURESTE,pimienta,2015,45,43130,8604,42088,2216,1
MX-WELL-1153,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,terciario,2021,9,58874,6556,19017,3308,0
MX-WELL-1154,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,jurásico superior,2025,34,52534,9998,36705,2903,0
MX-WELL-1155,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,jurásico superior,2016,36,70461,15882,11136,1756,0
MX-WELL-1156,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2022,49,11007,11445,20706,2961,1
MX-WELL-1157,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,pimienta,2019,33,92197,13059,28271,983,1
MX-WELL-1158,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,terciario,2020,21,83609,15077,30953,2757,1
MX-WELL-1159,WINTERSHALL DEA,VERACRUZ,agua nueva,2018,39,31427,8428,37083,1530,0
MX-WELL-1160,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,jurásico superior,2017,15,39241,15645,23025,1015,0
MX-WELL-1161,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2021,33,85932,7098,33411,2323,1
MX-WELL-1162,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,cretácico,2025,7,54413,6988,26335,1368,0
MX-WELL-1163,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2017,5,22857,6933,29982,2480,1
MX-WELL-1164,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,terciario,2016,19,33019,8255,29994,2107,0
MX-WELL-1165,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2022,19,92970,9633,40707,2746,1
MX-WELL-1166,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2024,7,25251,13725,10526,3281,1
MX-WELL-1167,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2018,13,75455,15208,15109,3048,1
MX-WELL-1168,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,jurásico superior,2015,12,36589,7389,36143,2558,0
MX-WELL-1169,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,terciario,2022,15,42981,9762,19768,2948,0
MX-WELL-1170,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2020,26,58787,8720,18905,1435,1
MX-WELL-1171,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2015,45,55004,7949,33116,2663,1
MX-WELL-1172,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2024,19,78577,6105,19078,927,1
MX-WELL-1173,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,terciario,2020,13,36015,6552,35291,1787,0
MX-WELL-1174,REPSOL EXPLORACIÓN MÉXICO,TAMPICO-MISANTLA,terciario,2025,11,56163,6207,10899,521,0
MX-WELL-1175,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,cretácico,2024,18,25313,13179,20326,3456,0
MX-WELL-1176,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,jurásico superior,2018,49,93847,8356,14790,2835,0
MX-WELL-1177,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,terciario,2020,41,12920,15274,24025,1254,1
MX-WELL-1178,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2015,11,40027,13005,10956,2571,1
MX-WELL-1179,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2018,28,90818,10703,16563,1773,1
MX-WELL-1180,HOKCHI ENERGY,SURESTE,pimienta,2016,40,55350,7394,31116,1791,1
MX-WELL-1181,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,pimienta,2015,39,29975,12895,22765,2122,1
MX-WELL-1182,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2019,9,54965,10648,40523,880,1
MX-WELL-1183,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2016,43,55893,9216,36616,527,1
MX-WELL-1184,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,jurásico superior,2022,16,71367,13062,43397,769,0
MX-WELL-1185,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2023,5,16276,11895,23994,3060,1
MX-WELL-1186,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2025,41,61886,12116,25563,2712,1
MX-WELL-1187,FIELDWOOD ENERGY,TAMPICO-MISANTLA,cretácico,2020,48,93194,6956,44707,2881,0
MX-WELL-1188,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2015,39,96213,11178,39856,1508,1
MX-WELL-1189,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,jurásico superior,2016,28,75661,13473,25398,1746,0
MX-WELL-1190,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2020,24,49062,12527,42556,807,1
MX-WELL-1191,HOKCHI ENERGY,SURESTE,cretácico,2016,25,33196,13519,23669,1016,1
MX-WELL-1192,PETROBAL,SURESTE,cretácico,2021,30,98009,12257,38625,802,1
MX-WELL-1193,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2018,37,41890,9124,23380,2908,1
MX-WELL-1194,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,agua nueva,2020,13,70576,13848,31592,1187,0
MX-WELL-1195,FIELDWOOD ENERGY,SURESTE,jurásico superior,2025,8,39165,7667,36213,518,1
MX-WELL-1196,ENI MÉXICO,TAMPICO-MISANTLA,terciario,2017,49,13712,7367,36200,3272,0
MX-WELL-1197,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2019,23,45643,11592,27824,804,1
MX-WELL-1198,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2025,39,86743,13117,35537,3489,1
MX-WELL-1199,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,agua nueva,2016,10,41348,7177,14760,511,1
MX-WELL-1200,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2018,19,83770,15135,36966,1849,1
MX-WELL-1201,HOKCHI ENERGY,TAMPICO-MISANTLA,cretácico,2019,27,74106,15206,14431,2338,0
MX-WELL-1202,PEMEX EXPLORACIÓN Y PRODUCCIÓN,VERACRUZ,cretácico,2017,19,55379,6140,16012,1463,0
MX-WELL-1203,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2017,12,64691,15873,22289,3136,1
MX-WELL-1204,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2024,43,82588,9654,33486,2859,1
MX-WELL-1205,FIELDWOOD ENERGY,SURESTE,agua nueva,2018,8,22149,7798,31675,1899,1
MX-WELL-1206,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2020,25,98789,15435,38552,1020,1
MX-WELL-1207,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2024,12,81831,10815,44084,2103,1
MX-WELL-1208,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,cretácico,2024,29,75681,11010,26035,1962,0
MX-WELL-1209,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,terciario,2016,37,27014,14853,21695,3352,1
MX-WELL-1210,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,cretácico,2024,13,37213,7100,17421,1420,0
